restaurant,review,restaurant_rate,review_rate,total_reviews,review_date,latitude,longitude,categories
Katsuya,"Rarely to I get excited by katsu, but Katsuya really delivered a memorable dish!I came for a weekday lunch with my work team and everyone was delightfully surprised and enjoyed a great meal. The main staple of the menu is the katsu (a breaded thin piece of pork or chicken) but Katsuya takes it to the next level. The katsu can be stuffed with cheese, come in a burger or with noodles. The traditional rice option comes with a wide selection of sauces, from creamy carbonara to spicy tomato-garlic to sweet curry. I went traditional and had the Original Japanese Katsu. The katsu was done perfectly, crunchy on the outside while the meat was still moist and juicy. I appreciated the attention to detail in this dish. The katsu rests on a metal grate so it didn't get soggy through the meal. There is a little mortar and pestle to grind up the sesame seeds for the soft white rice. The little pile of cabbage cuts through the grease as you make your way through the meal. Also the portion size here is big! More than enough for lunch and a delicious snack later on. The service is great, helpful and friendly at all times. Definitely would recommend.",4.0,5.0,136,2018-01-19,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"The portions given and the price you pay for is very reasonable. Lots of food for the price - it was also delicious! If you checked in, you were able to get a free pop as well. The chicken katsu was so filling and big - I didn't think it was possible. The pictures definitely don't do justice! I was here for lunch on a weekday which it wasn't too bad when it comes to lineups and waits. The environment was relatively louder however it was still manageable to talk to the person ahead of you. They have a good selection of food as well which I would definitely try again in the future if I go back. Though it is a little out of the way for me, very close to Ryerson university for the students.Overall it is worth giving it a try if you haven't before. Staff was nice and friendly as well.",4.0,4.0,136,2018-01-28,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"We dropped by for an early Saturday lunch, since nearby Kaiju has closed and we were craving katsu. The restaurant itself is well lit with plenty of communal seating and an open kitchen which is pretty cool. I ordered the hot and spicy chicken, and my friend ordered the regular pork tenderloin. The food arrived quickly and was piping hot. The meats were good, and the tempura coating added a decent amount of crunch. General consensus was that the chicken was more flavourful than the pork. I liked the hot and spicy curry, although for some reason it had a very tomato-like flavour. I tried the regular curry and it looked and tasted like turkey gravy. If I'm honest, the curry was the most disappointing part of both our meals. Both dishes came with rice and coleslaw. The sesame dressing at the table is absolutely delicious and I found myself adding more a couple of times.Total cost for two - $38 including tax and tip. This is not cheap, especially given that we didn't have any sides or anything to drink. The portions were very large, however, so you could definitely take some home if you're not super hungry. I'll come back to try some of the other curry options, but at $20 a person I won't be coming here every day!",4.0,3.0,136,2018-01-21,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"Krazy for Katsu at Katsuya! I came here last night with my sister after reading all these wonderful reviews and looking at the mouthwatering pictures. It was about 5 pm and we were able to be seated right away, but it was busy as there is limited seating. To start we got Cheese Crabmeat  Croquettes and Takoyaki. Both were delicious! They give you a bowl of miso soup after you order which I thought had a great miso flavour, better than many restaurants. I got the Hot Spicy Cheese Katsu and my sister got the Cheese Katsu burger. I loved the hot spicy sauce, it had a good spice level and a nice chili flavour. My sister really enjoyed her burger and would get it again. It was messy to eat though, so a fork and knife seems required which they provided when they brought her plate. She got the combo which comes with fries and a pop so I had a couple fries to try and they were nicely coated and crispy. Everything was beautifully presented, tasted great, and service was friendly and quick. There are lots of different sauces to choose from and you can get pork, chicken, or fish. The portion size is also good for what you are paying.  Location is a plus for me as it's close to my work. Will definitely be returning and telling everyone to try this place!",4.0,5.0,136,2017-12-20,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"Great quick bite in the GTA. Portions are huge for lunch, be sure to go on an empty stomach or go for dinner. There is no specific ""lunch"" menu so the portion and price is the same for dinner. I tried the carbonara pork tender which I loved. Would recommend that dish. The carbonara complemented the dish well with a hint of spice.Tip: free pop when you check in yelp!",4.0,4.0,136,2018-01-17,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"Do you love katsu? Then go here. There is no competition, and it is hands down the best katsu restaurant in Toronto. I am glad that it is somewhat far away from where I live or else I would be eating here everyday and would double in size.Katsu is a balancing act between the crust and the meat and most katsu restaurants don't have the right balance - they either have too thin of a crust with too much meat lacking that crunch that you want from katsu, or there is too much crust and not enough meat which ends up tasting like you're eating fried batter (which could be what some people enjoy). Katsuya is the perfect balance to me, just enough crunch, and the right thickness of the meat to give it that juicy umami flavour. Nothing compares to it in my opinion.There are a lot of different options for the katsu, ranging not only in the meats but also with the side sauce. You could choose from curry to their special Katsuya sauce (which I think is quite similar to demi-glace) or just a regular traditional katsu which all comes with sliced cabbage, rice, and miso soup. I do warn you though, their portions are quite massive, and I often have a hard time finishing it all despite having a fairly large appetite.I can tell that the restaurant is catching on and more and more people are realizing the perfection that is Katsuya. Lines are starting to form, and the restaurant is getting crowded, and I'm sure this review isn't going to help ease that any time soon. It's not a hype so it likely won't die down, it's actually legit good.Hopefully they will open another downtown location to ease some of the traffic in the near future, but for now this is your go-to spot for katsu in Toronto, nothing else comes close.",4.0,5.0,136,2017-12-07,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"A new absolute favourite.For me this place is one of those random discoveries that only happen every once in a while - it was a lucky day! I had been having a Katsu craving for weeks and this place met all my craving needs and then some.There is a wide variety of plates and katsu varieties to choose from - I decided to try the Terri Mayo Katsu and oooh boy. Perfect Teriyaki sauce, meat was tender and perfectly cooked, the mayo added a spot-on creamy texture and the bonito flakes on top gave a really interesting crunchy touch to the plate. I am still surprised that I came here with a friend during lunch hour and the place was not busy at all - we were immediately seated and service was excellent and quick.Curious to try the curry Katsu next time :)",4.0,5.0,136,2017-12-07,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"Nice restaurant, supreme service, and excellent food. Came here for lunch and luckily it's not busy. Their bread crumbs are made in-house and made daily. I got the original sauce chicken Katsu and sweet chilli pork tender Katsu. Love them both as both Katsu are crispy and fluffy and not oily. Meats are tender and juicy. Overall food is very good. Will try other flavors.For the service, girl greeted us with good smile and very attentive. She even ask if we want more miso soup which other place will never asked you that.Overall, I'll highly recommend to come try this place if you are around the area. The price is reasonable and very good portion, and again food is good. Definitely will come back and hope service and food will still good",4.0,5.0,136,2017-12-04,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"I've been to the North York location, and this place is just as good! My favourite is the crab-cheese appetizer. The katsu here is really good and always fried perfectly. I always get the sauce on the side so that the katsu doesn't get soggy. It comes with unlimited refills of rice, cabbage and soup.They don't take reservations and seating is limited so I suggest calling ahead before going over to see how busy they are. There is also no time limit for sitting there so I had a great time catching up with friends here.",4.0,5.0,136,2018-01-12,43.660047,-79.378802,"Japanese , Asian Fusion"
Katsuya,"I finally ventured this side of the city for dinner! Upon entering, it looked more spacious than other katsu places - clean, airy and well-lit. The staff were welcoming and quick to escort us to our sits. As we were deciding what to eat, the server brought us water and after some time we ordered pork loin with cheese original, chicken original and takoyaki to start.When the takoyaki came in, I could immediately tell that it was going to be delicious - it was crispy on the outside and soft on the inside with a generous piece of octopus and katsuobushi on top. So when our mains came in, I had an expectation that it was also going to be yummy. The portions are substantial, definitely larger than other katsu places in Toronto - it was a bit oily towards the last few bites. Our server was attentive and came to ask a few times if we wanted more rice, miso soup or cabbage salad. Overall, a hearty meal and worth another visit!",4.0,4.0,136,2017-12-05,43.660047,-79.378802,"Japanese , Asian Fusion"
